epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,0.6983159916902928,0.07205691423157558,0.13569123562707233,0.06615550210875168,0.08284217334719224,0.15090862331000782,0.07871436654962613,0.03344680562406385,0.028063171892471882
1,0.44951202454563727,0.1230547503763162,0.21967632693971606,0.12585482235387735,0.13774164128240773,0.2380570548558868,0.14245467905064957,0.06838998731449202,0.05959415126337477
2,0.4016321139635875,0.16159147844793534,0.28196913005234436,0.16342323231147227,0.1894772901451904,0.3057317466537818,0.21203392714509853,0.09625287950716384,0.0788362252016801
3,0.37380764495704977,0.18011800901210312,0.30604001675374265,0.18386444297936796,0.1988523964810601,0.3233558917071554,0.2167895111883273,0.10271950179140943,0.08695951010135364
4,0.3527561774024628,0.19142280094591294,0.3152215593813337,0.20314191841922097,0.21338700820750628,0.3299797177787699,0.24654703951337809,0.10231570487318711,0.08639379463472635
5,0.34216416035460395,0.1907846322253497,0.32498687930869635,0.19550557884888956,0.21664953807472764,0.3422674472787964,0.2462658518367488,0.11178219678609239,0.09297047732765766
6,0.3283283954225203,0.19926925579610427,0.33924582505031753,0.2036127627092225,0.223198632917936,0.3550911907871307,0.2439162573640882,0.11257487978476306,0.09497306481178464
7,0.3174283925794474,0.20638269925754713,0.3362987984015473,0.22187760129489448,0.22970832117189208,0.3545924642161217,0.2610453224753658,0.11246734691760253,0.10199587463369214
8,0.31016153117330314,0.19645080386787836,0.3268937319250386,0.2045134957433101,0.22847619974056885,0.3434568227262226,0.26071620170774806,0.11359783749411376,0.0939634195361431
9,0.30248548214550186,0.21280466670225862,0.3513438118232996,0.22789767951173126,0.24125504508239604,0.37209298326590706,0.2665840328755011,0.11804288238323087,0.10188233333197762
10,0.2974660120546293,0.21079229930606924,0.35811612709846613,0.22525115362365147,0.24368919523241536,0.38193133309737587,0.2686483957491557,0.12357404170806018,0.10148954189412612
11,0.29168019330251355,0.21441804263554728,0.35684541058066777,0.22437078362067572,0.24797394852927676,0.3786070422199669,0.28048004253947795,0.11597283149320244,0.0971931559745591
12,0.2865083626015572,0.2145427046876222,0.3557780074864483,0.22537939912872035,0.25143047844138133,0.3876612998552966,0.2750491416129568,0.1241780109806155,0.10118657894349557
13,0.2798948707658048,0.2064606372293571,0.3453935255994716,0.2226746290503438,0.24069458791712692,0.3672285410626102,0.2705159936338859,0.11840545878730797,0.09594621677412801
14,0.27565548947798535,0.22058072351401117,0.3680917713644223,0.23869670857563835,0.2546112341741893,0.3977790084714553,0.2802599648005693,0.12868822681454045,0.10964096925808524
15,0.26856968801572023,0.2182172636775269,0.3650450981070627,0.23231381925635802,0.25204769714157405,0.3920511845956697,0.2886363944570974,0.12447381368994401,0.10162084348801646
16,0.2676750911436294,0.21038635033197153,0.35265484131512126,0.22253220549495362,0.24499662608166203,0.3839864967186945,0.2730088391863636,0.11692206229808298,0.09501872925931241
17,0.262546175141228,0.2195020244679747,0.36053088502106434,0.23220823671215277,0.2526558927308194,0.38352445256988893,0.2847162500664068,0.12490657485543721,0.09606453835566475
18,0.2590574394954405,0.2182885657310567,0.3688899988619245,0.2290772617526876,0.25276977166044007,0.3951925649238352,0.2791548945368019,0.1249493739758742,0.10452964854473128
19,0.25442145366320035,0.218140644593402,0.36461561420864047,0.23271679700449358,0.25354180437008805,0.38996031340375625,0.28181274670643264,0.12297807031817096,0.09870540515051937
20,0.25190717300693977,0.22560794561943248,0.369808792439698,0.24683825246971314,0.26298707783201886,0.4003790411866579,0.2945717145170118,0.1303475118705375,0.10686559542367458
21,0.24691493525727826,0.22395175997808092,0.36914056116620714,0.24347875325196155,0.2593310872432672,0.3958742040562174,0.29112427673333696,0.12359517285117894,0.10092470649511263
22,0.24785777758970887,0.22349677662565687,0.37450289915271706,0.23769629428654881,0.26165757059435524,0.4011550600751023,0.2943023463928773,0.12633699947652016,0.0988831620193048
23,0.24416254724129358,0.22549701139681663,0.36924398642052964,0.2456022040800122,0.256618982514848,0.3927256763277511,0.28720893703545014,0.12436548213641699,0.10412363794267787
24,0.2414817732576591,0.22170184384009897,0.36753847110805016,0.23948073803273734,0.2588505385923204,0.3962223400878374,0.2860681609922355,0.12439522183329238,0.09814864833659678
25,0.23595110790585858,0.2238531097467441,0.3785207762320827,0.2345536484297487,0.26098227488190534,0.40307102055943733,0.28655047740807593,0.12520418429352628,0.09723170916448068
26,0.2349935956475859,0.23386424737220038,0.3891999910780413,0.24984024425391194,0.2701773688458498,0.4082167826941245,0.29886577804499037,0.13051133699401007,0.10799369737581133
27,0.23236106712429122,0.22947183448524175,0.38545899072806467,0.24616672768656866,0.26907883904748564,0.40703174775977935,0.30521645667622554,0.13042755198924774,0.10532493466443123
28,0.22805242725700323,0.2243437390361007,0.37247057638614844,0.23683970372353633,0.26644401334519063,0.40383685963178345,0.29772970499583756,0.12995359021424452,0.10198848355157891
29,0.2262864781136277,0.22956653670947125,0.37704868375474676,0.2478976742981808,0.26878958555275134,0.41006322571430104,0.30285925787434376,0.12439956898310352,0.10263397320621699
30,0.2247235938028944,0.22723009884588868,0.38144153924778357,0.24201073180732682,0.2647596292269713,0.39646952086952236,0.30095242127848915,0.1284806469006166,0.10250760266726214
31,0.22253415902563262,0.23074554992440893,0.3824844964105191,0.24790522320455793,0.26868011465937636,0.40397546778950383,0.3009732372570267,0.13662201920964553,0.10635391514414996
32,0.21931791208689488,0.2304982792349607,0.3815227233858265,0.25195582893759394,0.2682087406628876,0.4034172919295624,0.29886101529325965,0.13417469521681002,0.10385476815633993
33,0.21624197988955654,0.2311140374167015,0.3834916462549157,0.24689096787988007,0.26821215504142376,0.4043612678868621,0.2965341943432049,0.13061265301627875,0.0992732879781157
34,0.21719170262382576,0.2310916797638272,0.3841070006123136,0.24776304733902393,0.272127343929271,0.4070106344573127,0.3044458705976005,0.1368762941268197,0.10664130744047426
35,0.21525568565001904,0.23184633829845885,0.3860221720672414,0.2510919370909064,0.2754879375850959,0.41391107288128204,0.307564533728182,0.13457012930065038,0.10088690105107932
36,0.2121935349182253,0.226425118324132,0.38043323296260606,0.24293214739238203,0.26707396637888,0.40218120346045494,0.29973900713384644,0.13058935769914307,0.10018313508658497
37,0.20992484121768154,0.2310557107019652,0.37903725712734615,0.2497769452081488,0.2731257822326548,0.40599643368459803,0.302432167126143,0.13288524569608878,0.10349492751652979
38,0.20896865131892137,0.23263751001208463,0.38783198764251126,0.2523227498416918,0.2746693514036087,0.41167562066725305,0.30400231846525777,0.13309357110539438,0.10375939441875932
39,0.2085642572504972,0.23355327015546123,0.39056572268683154,0.25029689367008084,0.27479878131864527,0.415762548800363,0.30535048035966333,0.13546722209595427,0.10467660592791457
40,0.20580936914855916,0.23170724694753791,0.38580436439708055,0.2514740708266657,0.2738313672259675,0.40660874043362727,0.30512355606988273,0.1351849202064842,0.10296282866379976
41,0.20426904759700829,0.229910116509372,0.38451571106016263,0.24857091538844145,0.27474087395084335,0.4135713155487971,0.3051274953594471,0.13453427085576888,0.10179413242243156
42,0.20475146087667145,0.2295714741705161,0.3860659787306042,0.2461107384704333,0.27294810360783905,0.41020131181341046,0.3009913546082342,0.1336431073925117,0.10177454221169038
43,0.20216639266275602,0.23096045434254675,0.3839862477057348,0.2501292358033425,0.27258665056306414,0.40632682887823846,0.30318969727849315,0.13442789827262452,0.10235441022757166
44,0.20287412360623308,0.23242362913724,0.3847641032917495,0.24415528924533086,0.2715200657271714,0.40552138762337714,0.30137995815898777,0.1330884235928825,0.1025990168656076
45,0.2021649256701718,0.22990688290092096,0.38376937485039425,0.24574688484154933,0.2734962619117585,0.4141509109239182,0.300324490513992,0.13245106944642654,0.10038889749098445
46,0.20262370177354858,0.23327253991154065,0.38957925987998343,0.2475825742211535,0.27303168556154545,0.40817180685488386,0.3018325378969799,0.1341371898066193,0.10291347787301659
47,0.20014417437822657,0.23013183166640194,0.3829586972328765,0.24693932802309,0.270589076289397,0.4028724879033581,0.29834405365740063,0.1331830496657931,0.10207484759820365
48,0.20080832944339244,0.22936124141629646,0.37761419842025623,0.247763240577693,0.2704987449431917,0.4058886708002164,0.30061955895168235,0.13204903414789054,0.10179554599412083
49,0.20190107362368823,0.23196263949233192,0.3832492822859172,0.25156929191046506,0.2723099419588632,0.4041948364114713,0.300452695905956,0.1341553274302635,0.10482837036792428
