epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,0.8050736778287639,0.06432621865494227,0.10850232306343455,0.06479780748896959,0.0733131711507248,0.1289956203968303,0.07665836394434397,0.016974613930559393,0.01681925046277334
1,0.5140572586910432,0.11736163021153155,0.20676556143922403,0.10944890042700206,0.13954785167411937,0.23127373582586314,0.15029018432998084,0.048869572874734105,0.04295514076300251
2,0.4659419668355987,0.155362859153437,0.26975710803879077,0.15557834243598637,0.19113292572674045,0.30534414592825293,0.2099883742341396,0.08622667605456175,0.06664560892346949
3,0.434412732886559,0.1639064890574976,0.27299123709261996,0.1650860971211362,0.19273996309547786,0.3030392946851036,0.2125470364291576,0.09369249827664294,0.08116627393754867
4,0.4142640975328183,0.178285079052783,0.3064969039512098,0.18157799399591443,0.2091793357113722,0.3333792196732455,0.23274940679795303,0.10190626117984328,0.09011163423871152
5,0.39942472663510686,0.18851106964317596,0.3162334633721415,0.19621690269774092,0.21578838103078046,0.3428176914328134,0.24176729548869044,0.1084742200407556,0.09869712809073737
6,0.38343003661806846,0.19223058690904296,0.336397256869797,0.1886655889728628,0.2244876443540956,0.3636063040608331,0.24502783375043974,0.12107334121123005,0.10822688456379692
7,0.3749737178230522,0.201571840811484,0.3505510981435568,0.20478653690748808,0.24382927972889945,0.37913100304552544,0.26992260735643364,0.13712662927038102,0.11264557897584626
8,0.36317706669425726,0.19918707795089868,0.34355368546944226,0.1972646067501643,0.23430058825661784,0.36883836346741766,0.2611328554684928,0.13093340739797163,0.1099792990403494
9,0.3564660735289847,0.2035993647113768,0.3565477060221425,0.20954726732464657,0.24945035097414578,0.38509379724886483,0.2764729045912608,0.14101758265363057,0.11487591057869458
10,0.3448450024686338,0.19492933015507366,0.34083851351489436,0.19191067397330797,0.24171202028266342,0.37237405260008416,0.26747026703286786,0.1212044600881179,0.10095494776500923
11,0.3394687657314901,0.20956204877711765,0.3627476117896657,0.2146959773973924,0.2626879312812063,0.39267537162995886,0.2969756613046295,0.13698064788542783,0.11031079662942625
12,0.3288609009545384,0.21193869885545444,0.3677333188239923,0.21247003742628434,0.2584475980851543,0.3982707385633741,0.2821931782223077,0.14857774653873013,0.12617779054537154
13,0.32643019665572726,0.21746481369790074,0.36570234121526735,0.22187868452566772,0.26194791070958723,0.39600763942898004,0.29499446200185353,0.13688015592927166,0.11259828044995152
14,0.3192563724635997,0.2024584673568383,0.35308015196430237,0.19925098416749976,0.25087218997570593,0.38519288707621424,0.2844007935767498,0.1367937588623837,0.11178782336694279
15,0.3155184418443115,0.21644710361883418,0.3689688492550329,0.212493283818992,0.25944535276480835,0.39489718736104124,0.29420412492424103,0.1339475659280922,0.11367649533703247
16,0.3103612358537601,0.22287410503343116,0.375719725153595,0.22362862195735575,0.2710339347309152,0.40518509498954663,0.31054642086061435,0.14474029406778663,0.11560664153921434
17,0.3053134885123819,0.22177011261338891,0.37746815203869605,0.22416484944635295,0.26609869871265435,0.4064526178425757,0.2925277732424023,0.14200332143002345,0.11459495187425606
18,0.2996946616095977,0.21290697181375343,0.36761256603760506,0.2213371569621436,0.25934401712693034,0.3968191456727416,0.2916114276256658,0.14149816324181555,0.11490680775495925
19,0.2950232788237202,0.22511165939724426,0.3848130645951111,0.2275447736339215,0.27689704265172765,0.4113009764305582,0.3151174129379351,0.1498523773350177,0.11280590856338286
20,0.2939579619794087,0.2282518462905069,0.3874417280085455,0.23623343314425646,0.27680414650484253,0.4184978259431272,0.30878593034725604,0.14867719967340154,0.11592115936110078
21,0.2874966494951402,0.22097679587880462,0.3773596264540109,0.2233265793057578,0.2681079481230812,0.40464918290351665,0.3019360213755636,0.14931299044298443,0.12018658366374077
22,0.28599313880135724,0.2194880639116768,0.3779450737813987,0.21934786787648092,0.2706360043984156,0.40759832260812745,0.30175306682868186,0.14608239537236054,0.11627321381553371
23,0.27990197012711043,0.22508068528413736,0.38571300665962255,0.22235995839948733,0.27477601644204647,0.4163965400629238,0.30404601817203586,0.14762945294641155,0.1157920771035658
24,0.27858980880794026,0.22290946573308193,0.38590378224324434,0.22742967984282392,0.27608179737358185,0.4186951801748363,0.30766831516743254,0.1495294492089479,0.11628345840267744
25,0.2743389030371457,0.22662018718247487,0.3789025777378175,0.24651566231679556,0.2712865663504231,0.411657735644246,0.2970834620311568,0.1457737361363955,0.11655557862009808
26,0.26800695936919144,0.22311210439287907,0.3796095941017999,0.22807041007753076,0.27265750877699857,0.4161493332262032,0.30866506009918343,0.14992664483184043,0.12247875377719447
27,0.2682928111325705,0.2212131232584404,0.3726371153829662,0.22377336746867582,0.2686381578271353,0.40660521331005106,0.3002173482368356,0.1487804150151789,0.1173008690431731
28,0.26502039648195475,0.22661557151126346,0.3874923317781127,0.22908663737972976,0.27753485106031517,0.4203459151095527,0.3102455426707392,0.15132163002605248,0.11800107722469558
29,0.26104827086721655,0.22684876828619596,0.38687658673702013,0.23821364248072247,0.2807373802217094,0.4251965574371362,0.3131410756224073,0.1534329159255756,0.11701619484800474
30,0.2610210811043022,0.21849171939311718,0.37186705758115374,0.21880960892560963,0.26890554908241315,0.4111344759060958,0.30086102395614817,0.1404871722263934,0.1048524353965312
31,0.25592816245304756,0.221919035009356,0.37912520868255095,0.22811363849171273,0.27505542949196776,0.4104285036406501,0.31074834561639475,0.14481645798284995,0.11103971851995227
32,0.2553614884651874,0.2270693641311972,0.38787660985035527,0.2339327265700077,0.27307438746923485,0.42106558555721585,0.3053723346794914,0.14609696264206382,0.11849933891133363
33,0.25673190545858504,0.22484512738219248,0.3793201745540313,0.2344094993109004,0.2734309164017922,0.41443823330917373,0.3093884351858831,0.14908296887867298,0.11557693797879408
34,0.2511095427521395,0.22716223985356931,0.38445866721859445,0.23071464953153628,0.2780927941951843,0.42000174412703933,0.310796670420981,0.15189926793885958,0.11868384358007088
35,0.24772668623422012,0.2309953522702697,0.388970901849252,0.23488381481396906,0.2816854464530115,0.426884271532276,0.3188580652564234,0.16001412406998547,0.12187395536130216
36,0.246762640857342,0.2326133594139859,0.39020430667194544,0.24159926949705396,0.28286580230062636,0.4246091856226071,0.3135644100412504,0.15704703255768135,0.123199341829808
37,0.2463554561950608,0.227808242514377,0.3876725819279588,0.2270229710532199,0.2812124080205268,0.42385419472092994,0.3156238020375374,0.1571626851390786,0.11959264438112803
38,0.2490193911792325,0.22995363032098373,0.38768681789543674,0.2336634673642495,0.2834115790983466,0.4255269591471661,0.3168659612641237,0.15755699113926963,0.12039819805496413
39,0.2423641956428613,0.22888741378573096,0.3865274239362329,0.23369518638659265,0.28271306467441853,0.42370215241989184,0.3171929299993469,0.15826382579144452,0.1186763703575745
40,0.24160123728169533,0.23002233554644383,0.38900983872170053,0.2333072440675358,0.28274596090578163,0.42383436618537906,0.3159163014460538,0.15298435490581894,0.11706188455711668
41,0.24131776793147847,0.22938160234152738,0.3864436346075916,0.2351773006198683,0.28190490668859447,0.42046032071580886,0.3146058914382989,0.15765053347433342,0.11769307049813091
42,0.24062312432233582,0.229008341643207,0.3874592359267664,0.23536945468747908,0.28197975136701076,0.41957705849981725,0.3149556052785699,0.1517845913910846,0.11481705313889075
