epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,0.8117746875484045,0.043401601602680785,0.0813530841890483,0.039353831849146724,0.05635099628868801,0.10189342974557551,0.05520387939753463,0.012186442071416653,0.010418440456901146
1,0.5352935601935215,0.10209044404888434,0.18302123032207657,0.10857760678976656,0.1253993455579723,0.21508327073702985,0.13458294642890073,0.050094193573783356,0.04290604027651607
2,0.48026355993939746,0.12099368423266411,0.21038982778454027,0.12638246413317,0.14973371287622964,0.24668307504857037,0.16505665863606134,0.06340300155113805,0.05843725695415356
3,0.4501265628630344,0.14099109020176548,0.2525533795617008,0.13945731869714978,0.1743586063780788,0.29757104459261935,0.18162730152557882,0.08410877246317887,0.07592573338446094
4,0.4266670917194277,0.15148264316757043,0.2830335177004185,0.1477558230734862,0.18743594466093189,0.3190226323827923,0.1993672733083486,0.0922598702445685,0.08537524864946673
5,0.4130650630227695,0.14460198834337976,0.2742510609966747,0.13176072849932388,0.1881487624482895,0.31787072637381547,0.20377036888702554,0.09647617620400563,0.07854409633317323
6,0.39983983376655435,0.16090975096658797,0.29190397183256916,0.15487860040526064,0.2048460277810368,0.3335967221649129,0.2231631270400834,0.09785247516818357,0.0837347624812317
7,0.3832017031153191,0.15879313873452439,0.29206935339012224,0.15454920419782936,0.2094885956557406,0.33304457218400413,0.23079997753845924,0.10425113514571717,0.08578917758527582
8,0.3735142439566876,0.1637133266985309,0.3058132897261557,0.15623701812537927,0.2218128214393156,0.3521314109069983,0.23853139129298903,0.11356377762986647,0.08983782497092141
9,0.3667686490764405,0.1532381796694476,0.2847988631436003,0.14797810466068628,0.20991085307368665,0.32971066978779096,0.2393232875741711,0.10568224514720946,0.08575505535980155
