epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,0.9901841552431846,0.10867413753860584,0.1678904213379621,0.11998315401021664,0.11704440690544189,0.18758168383878718,0.126830102894222,0.0391423508345973,0.028102553891184226
1,0.5887542686793293,0.15006195758408777,0.23807063405761947,0.15988245342333723,0.17083307170584877,0.26601143548683454,0.19436913449398396,0.08748859614831535,0.06621255486023185
2,0.5148362321629105,0.18272165228221016,0.2989670810041249,0.19402302590947465,0.20946648002297874,0.32938016776147894,0.2319618996135562,0.11882026865839267,0.08091628272885631
3,0.4816151445239893,0.1908050134737858,0.3107544006811533,0.19963483241906552,0.23825385020778256,0.3740651432910908,0.25852490828788155,0.10403109496333608,0.07206606093994153
4,0.44746998310679986,0.2043503481236109,0.3370404208904466,0.2150892280482726,0.2536284488812287,0.4000052862109706,0.27508731105132733,0.12224885911820242,0.08554675558523395
5,0.429073404645388,0.23093508537137108,0.379721130672791,0.24258085661731388,0.2857786587799731,0.4400003601501676,0.3274940764994445,0.14333693365688072,0.09762250927520731
6,0.41197316147285473,0.22734026049489717,0.3684345353765092,0.2491545596556334,0.2846299022315947,0.4348922756058849,0.3256010909313739,0.13255478485997435,0.10011661398202744
7,0.4063429141133248,0.2343588406861971,0.3860671904461752,0.25594487106130753,0.2872149101839251,0.44195362742060645,0.32115062633755304,0.13195680060768175,0.10661458490078135
8,0.38898586192834184,0.24231084182494816,0.3964215794844318,0.2576906657610381,0.30699431077854666,0.45896747277969024,0.3422400336214338,0.15007787135326975,0.11525894446214734
9,0.37971668645204076,0.23866861491462255,0.3879086720374026,0.2542857445097897,0.30766876976138335,0.4538450767603845,0.3472302657157925,0.14774450668539668,0.10597230168434989
10,0.36707896784483424,0.2485695517330699,0.40038876238491183,0.2683416715055884,0.31401534910697476,0.46211229482334276,0.36039871863269063,0.15331439366944818,0.1189733410826631
11,0.3585259911443812,0.2595316951976889,0.4154182588296825,0.28564001115845644,0.32547326386342945,0.4797006423446847,0.36161408386575716,0.14798312595941307,0.11341385397650867
12,0.350470711898331,0.25185157817542914,0.4111348789545011,0.27306144440471875,0.3155402184126203,0.4778052748891543,0.36254557306632224,0.13431778597873867,0.105215796178569
13,0.3434310213488422,0.2503993114885234,0.40987149264580053,0.2626810307999679,0.3194421205164234,0.4759551866495237,0.3590013255301844,0.14715149027540053,0.10783034653551218
14,0.34211577801899395,0.26898857185499,0.4222185225742342,0.2932184683891516,0.32664753571384547,0.48402813239652237,0.3653775462754067,0.14657976396924124,0.12512206794080902
15,0.3342877356093169,0.26696327224220345,0.4275366917208556,0.2777210878614524,0.33715600214320246,0.48744450167313735,0.38148538885459315,0.15140467607775127,0.12034837961844161
16,0.32734859802170463,0.2622823813044549,0.4228357522134798,0.27380814189641817,0.32813920517820167,0.4803780933338005,0.3601615007488065,0.15847860781225143,0.12358403436770149
17,0.32152216082907376,0.268405662625567,0.4272840255987673,0.28448623225811814,0.33723969776255686,0.48811555474888946,0.37430324815183996,0.1573266762668921,0.12065263894447094
