epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,1.0061647020455777,0.09841186714424664,0.1579012079268039,0.10875699731556417,0.1001577098113819,0.17166259432935993,0.11825303153555501,0.024610229425228454,0.023652369078075008
1,0.617975965308434,0.1414377630899423,0.22493797041868452,0.14913854489418793,0.1603160887006348,0.25277627158266003,0.17294324159358784,0.06787353913294926,0.054878993785208365
2,0.5521127542450821,0.16610924283854508,0.2701685205057564,0.1703559921304082,0.2020446588750651,0.3185814839038848,0.2196811670203612,0.10462788053596375,0.07839616186671974
3,0.5180466284391457,0.19249675538167013,0.3183001719123798,0.20203314729504315,0.22779143052006004,0.36957280263180803,0.24365537196232867,0.09174825679211973,0.08256148535322913
4,0.48752451238431305,0.20085313789033535,0.33177628504983375,0.20758010325033818,0.24764463821294883,0.38405823044022736,0.2696542689625737,0.11249935947704172,0.08941126954642602
5,0.4677932531269362,0.20421237596703168,0.33987744012989396,0.20991030902745542,0.2498212947789585,0.39406698777535054,0.26770958237093095,0.11311179000922195,0.09421763968839642
6,0.449661576319509,0.22628702679102,0.36798746631820384,0.23770277787414001,0.27207479202476215,0.4227601465143812,0.29530035924685794,0.11453751206194504,0.1012688334656001
7,0.43521447163975374,0.2159208023262341,0.35703239842134726,0.22880372650840292,0.2635370686486589,0.40841776022531007,0.29528250349591656,0.11331239914432287,0.09602853854928971
8,0.42820219774967083,0.23313820549581865,0.3836015781858527,0.2442268853478147,0.2855922779797929,0.4368688494444986,0.31870916827921675,0.12521616945209968,0.09568837130298255
9,0.41140724380663335,0.2468665917256822,0.3940857514774837,0.2654746301447743,0.3042180218470604,0.4475846106483267,0.33756723239997977,0.1430083538706786,0.10880950864883182
10,0.39994658856586895,0.2406435392578391,0.3949694093145128,0.2575742868626783,0.3002187828547824,0.4548150950488456,0.3343128280501447,0.13398597334870538,0.10209236072394173
11,0.3968230558298482,0.24801118170677253,0.40137667880184846,0.2680276821399027,0.3054510361800089,0.45740925567244556,0.3436418784097665,0.13234725418919352,0.10771524758145844
12,0.38928052483881276,0.24518264444882465,0.4000268533723003,0.26214778409217415,0.3032448503880318,0.4589538932037294,0.3409137632116945,0.12091344427622301,0.09492403556317343
13,0.3833195758427238,0.2519917528893704,0.41379878891704536,0.2688740584421751,0.3112723546081007,0.46812240548498085,0.34430644468933075,0.13290800819783083,0.10198235133710623
14,0.37279161644690983,0.24187912550548385,0.3940420106132789,0.2560339655351239,0.29912085423918666,0.455789452947325,0.3277168230270304,0.13550456814071346,0.10400185814977617
15,0.3668808872076363,0.2491646507926176,0.40190319379430856,0.26592932952946313,0.3083272397719561,0.46085141775792265,0.34553929406553646,0.12911392324208215,0.1033053680382014
16,0.3636019303748451,0.2573277419217482,0.4194827017794517,0.2727915558664472,0.3133984444262337,0.4763694957592934,0.3535505176659479,0.14340956200990332,0.11380310526779086
17,0.36241132885106875,0.2490921164774503,0.40331819834652954,0.2669159277349667,0.31401667768064206,0.4630856792315863,0.3503771386256781,0.14352875253499245,0.11541267349829723
18,0.35359137061212437,0.2598429593316678,0.42377361584391704,0.2726029115676791,0.3222276255967519,0.48129999737052986,0.3574920894378942,0.14370783367415052,0.11705607808888022
19,0.3470364444170152,0.2693137581266388,0.43469030398539643,0.28638042670078717,0.3333661195862975,0.49138743214873576,0.3728558341825998,0.16833497237737532,0.12854510852063142
20,0.34406693658273313,0.26896955059573324,0.4284401766317578,0.29045529716654506,0.32953631857541005,0.4835172391306799,0.37898926235604424,0.15595545479501655,0.12597584821123797
21,0.3398718851649628,0.26197510817185166,0.4232545548172653,0.2809066787484243,0.3270316552381747,0.48574882883606935,0.3640202486485324,0.13758177023468776,0.11188844044726949
22,0.33547466897314515,0.27415424169148866,0.4323595835836224,0.2917014067816942,0.32652876490417326,0.48882773559938036,0.3689010136650509,0.17299375324428698,0.13635459475847375
23,0.3318074166110014,0.26692414621494664,0.4305079202799153,0.2798137903973327,0.3297282821792769,0.4910747760122206,0.36534380997626564,0.1597548999773969,0.12009883076385194
24,0.32666870268451825,0.2651525245665252,0.4239336252033058,0.2782968454679927,0.33226829466371494,0.4869270624544971,0.37074828819065164,0.15554112015759228,0.11748897943307551
25,0.32197039484830003,0.26992975896529664,0.43375207446917935,0.28999663739368475,0.33555132176181507,0.49545218745997166,0.37508386920865855,0.15926015606644442,0.12639652336829973
26,0.31912764652067843,0.27624048080714225,0.43781827653516286,0.2984199717383671,0.33908632270079214,0.4991937732845438,0.38168830760397515,0.1683071045677675,0.13365326482032414
27,0.3160882923830545,0.27826812773394244,0.4430704550335324,0.29456557379253506,0.341355004107302,0.5059054804896664,0.37991724218461775,0.16968153965248686,0.13006261595078933
28,0.31430885664740166,0.28549229309396124,0.44691759460338754,0.3035856232254434,0.35343668047725546,0.5111606281420872,0.3990136489741004,0.1594482912522727,0.12796758019292193
29,0.30925157965337474,0.2797652418215015,0.44463635881948416,0.2946529626815299,0.34699565568681345,0.5045495697012063,0.38645401750320607,0.1771437025350847,0.13354959597641025
30,0.3057323772520233,0.28076951200133154,0.4415009085732005,0.3006415698709341,0.346425513658218,0.5063910818207871,0.39143282196054274,0.16793154650836012,0.12345064843236343
31,0.3056215194078183,0.28469276497757223,0.4496484559059108,0.29761594052944673,0.35682518177305267,0.5138563956113097,0.3995361327950893,0.16187373571431962,0.12013504926150928
32,0.3018684812637953,0.2873038744470277,0.45309888806429316,0.3051384310963567,0.35242355793305635,0.5081302589490965,0.3995512732391904,0.17477448483581923,0.13233986116163726
33,0.29732281804232497,0.2814100166583864,0.4482810889525255,0.2956554979209732,0.3460196781156078,0.5082632930001997,0.38800085846540344,0.16538613164247165,0.12958941721090236
34,0.29563272280025366,0.29174742730862596,0.46290902336645995,0.30683105774430136,0.3621297479488086,0.5213077646681453,0.41455174967182407,0.16844611063120582,0.1269230069128613
35,0.29555794149821873,0.2852817047527456,0.45133024102770053,0.30129146061651296,0.35597001579544896,0.5127513231537957,0.40279807199596857,0.16848186045231842,0.1346788458677502
36,0.29205698535640295,0.28581414953629763,0.44979356555696354,0.306491083320023,0.3580244571538599,0.5130187162441444,0.4048119314909785,0.17517831652858878,0.12676198575222353
37,0.29036549091929986,0.28908892909978046,0.4575335907479179,0.30523508030785995,0.3576891161062983,0.5188092212196479,0.40446405817841274,0.16463356347750957,0.12450690595636218
38,0.2856417895840594,0.2849081252812985,0.45165808468864027,0.29934547593312544,0.35458205633375106,0.5111371108899047,0.39795165499277585,0.16861927652274356,0.1255275568666324
39,0.28456522245537097,0.29080326535629136,0.45722887685059527,0.30792881656579574,0.359480628427196,0.5182872643279977,0.40876059835631806,0.16955413540804515,0.12401786573447823
40,0.28570579330274165,0.2912889226819031,0.4556030755603778,0.3114180020725345,0.3580377438730658,0.5196525720020897,0.4059190405501098,0.16771724803832624,0.12499015045452805
41,0.2812379555779023,0.28880371411273476,0.4543575935443436,0.3064487004239283,0.35911634152111893,0.5172986837365299,0.4046462480806958,0.16710308759632508,0.1244117003092871
42,0.28033320581750504,0.2880217730188316,0.45361062768028365,0.3041456306510948,0.35592903954317223,0.5123014659787553,0.401351671778927,0.16605170203984035,0.12562526947210576
43,0.28467547524226494,0.2872375591725897,0.45053533434951865,0.3047024794098537,0.355697740224476,0.5101583004403366,0.3938146583318101,0.17374681639356654,0.13398856044387694
44,0.28034498552702913,0.2889774277886939,0.4554813047496039,0.30665695950076455,0.3554412414131857,0.5140268346285769,0.3995021735979448,0.173830929537098,0.1346046718940269
45,0.27835534909991677,0.2917114905030562,0.45673068185918086,0.3072709543028285,0.3594447548956931,0.517604199600651,0.40267301811858747,0.16800360058688457,0.12823033368918138
46,0.27856261904502594,0.28579401408892485,0.45110260748127196,0.30079939961201957,0.3544223613220739,0.5114883185506841,0.39608049441244425,0.1722431681989964,0.13173054276218685
47,0.2779950941953222,0.2957102604729855,0.465286649533161,0.311520341403815,0.36510029705688435,0.5231857086739239,0.41061616433805714,0.17719159199966902,0.1368266201713993
48,0.27865018218275633,0.2912305256296472,0.45759932255276414,0.3107454987345297,0.3606519907658319,0.5178257322647207,0.40335390712729363,0.17761238961569734,0.13635305922214122
49,0.27619693949910934,0.29309213257811795,0.4602723609033798,0.3105068580427891,0.36465583563643633,0.5211808001512135,0.41039712136459144,0.1663818017001875,0.12644086139694186
